cause,effect,slope,p_value,r_squared,status
fed_funds_change,yield_2y_change,-0.0251,0.7307,0.0002,WEAK
fed_funds_change,yield_10y_change,-0.0216,0.7529,0.0001,WEAK
fed_funds_change,real_yield_10y_change,0.0071,0.9016,0.0,WEAK
real_yield_10y_change,yield_10y_change,1.0962,0.0,0.8401,KEEP
breakeven_5y_change,yield_10y_change,0.9297,0.0,0.2441,KEEP
yield_10y_change,term_spread_chg,0.152,0.0,0.0537,KEEP
yield_2y_change,term_spread_chg,-0.247,0.0,0.1597,KEEP
yield_10y_change,dxy_return,0.0312,0.0,0.1865,KEEP
eurusd_return,dxy_return,-0.1119,0.0009,0.0148,KEEP
oil_return,breakeven_5y_change,0.5347,0.0,0.1781,KEEP
copper_return,hy_spread_change,-0.8272,0.0,0.0396,KEEP
real_yield_10y_change,gold_return,-0.0491,0.0,0.0345,KEEP
breakeven_5y_change,gold_return,0.0061,0.691,0.0002,WEAK
dxy_return,gold_return,-1.0615,0.0,0.1201,KEEP
oil_return,gold_return,0.0255,0.1874,0.0023,WEAK
vix_chg,gold_return,-0.0004,0.1376,0.003,WEAK
hy_spread_change,gold_return,-0.0032,0.597,0.0004,WEAK
sp500_return,gold_return,0.132,0.0075,0.0096,KEEP
gold_return,gvz_chg,23.6317,0.0,0.0626,KEEP
gold_return,gld_return,0.9232,0.0,0.8691,KEEP
gold_return,gdx_return,1.3896,0.0,0.5671,KEEP
gold_return,silver_return,1.6526,0.0,0.5852,KEEP
